Date,Closing Index Value,Total Market Capitalization
2019-07-22,2985.03,25291321305967.42
2019-07-23,3005.47,25464503688554.52
2019-07-24,3019.56,25583884303557.08
2019-07-25,3003.67,25449252793806.15
2019-07-26,3025.86,25637262435176.4
2019-07-29,3020.97,25595830837776.64
2019-07-30,3013.18,25529828354393.4
2019-07-31,2980.38,25251923161200.79
2019-08-01,2953.56,25024684829450.0
2019-08-02,2932.05,24842436637206.92
2019-08-05,2844.74,24102683514717.7
2019-08-06,2881.77,24416428310568.99
2019-08-07,2883.98,24435153020232.27
2019-08-08,2938.09,24893611861807.02
2019-08-09,2918.65,24728902198524.58
2019-08-12,2883.75,24433204294792.2
2019-08-13,2926.32,24793887955591.26
2019-08-14,2840.6,24067606456796.44
2019-08-15,2847.6,24126915491929.0
2019-08-16,2888.68,24474974800964.14
2019-08-19,2923.65,24771265795047.84
2019-08-20,2900.51,24575207070338.18
2019-08-21,2924.43,24777874516105.47
2019-08-22,2922.95,24765334891534.58
2019-08-23,2847.11,24122763859469.72
2019-08-26,2878.38,24387705792126.22
2019-08-27,2869.16,24309587320137.32
2019-08-28,2887.94,24468704988678.7
2019-08-29,2924.58,24779145424001.17
2019-08-30,2926.46,24795074136293.92
2019-09-03,2906.27,24624009933532.98
2019-09-04,2937.78,24890985318822.58
2019-09-05,2976.0,25214812650646.41
2019-09-06,2978.71,25237773719962.02
2019-09-09,2978.43,25235401358556.72
2019-09-10,2979.39,25243535169089.18
2019-09-11,3000.93,25426037542911.4
2019-09-12,3009.57,25499241837703.6
2019-09-13,3007.39,25480771309619.46
2019-09-16,2997.96,25400873566576.58
2019-09-17,3005.7,25466452413994.6
2019-09-18,3006.73,25475179314878.38
2019-09-19,3006.79,25475687678036.67
2019-09-20,2992.07,25350969249872.18
2019-09-23,2991.78,25348512161273.83
2019-09-24,2966.6,25135169089182.68
2019-09-25,2984.87,25289965670878.68
2019-09-26,2977.62,25228538455919.95
2019-09-27,2961.79,25094415309327.3
2019-09-30,2976.74,25221082462931.85
2019-10-01,2940.25,24911912935505.08
2019-10-02,2887.61,24465908991308.16
2019-10-03,2910.63,24660950989701.26
2019-10-04,2952.01,25011552114527.8
2019-10-07,2938.79,24899542765320.28
2019-10-08,2893.06,24512085311518.52
2019-10-09,2919.4,24735256738003.07
2019-10-10,2938.13,24893950770579.22
2019-10-11,2970.27,25166263969030.75
2019-10-14,2966.15,25131356365495.58
2019-10-15,2995.68,25381555766561.98
2019-10-16,2989.69,25330804177927.1
2019-10-17,2997.95,25400788839383.54
2019-10-18,2986.2,25301234387553.86
2019-10-21,3006.72,25475094587685.34
2019-10-22,2995.99,25384182309546.42
2019-10-23,3004.52,25456454605215.1
2019-10-24,3010.29,25505342195602.96
2019-10-25,3022.55,25609217734278.0
2019-10-28,3039.42,25752152508947.48
2019-10-29,3036.89,25730716529106.71
2019-10-30,3046.77,25814426995836.68
2019-10-31,3037.56,25736393251040.83
2019-11-01,3066.91,25985067562632.38
2019-11-04,3078.27,26081317653933.24
2019-11-05,3074.62,26050392228471.26
2019-11-06,3076.78,26068693302169.31
2019-11-07,3085.18,26139864144328.39
2019-11-08,3093.08,26206798626835.15
2019-11-11,3087.01,26155369220655.9
2019-11-12,3091.84,26196292454897.38
2019-11-13,3094.04,26214932437367.62
2019-11-14,3096.63,26236876780366.67
2019-11-15,3120.46,26438781681396.54
2019-11-18,3122.03,26452083850704.84
2019-11-19,3120.18,26436409319991.24
2019-11-20,3108.46,26337109049740.7
2019-11-21,3103.54,26295423270761.82
2019-11-22,3110.29,26352614126068.22
2019-11-25,3133.64,26550452121831.86
2019-11-26,3140.52,26608744430647.87
2019-11-27,3153.63,26719821780731.87
2019-11-29,3140.98,26612641881528.01
2019-12-02,3113.87,26382946461178.88
2019-12-03,3093.2,26207815353151.7
2019-12-04,3112.76,26373541742750.72
2019-12-05,3117.43,26413109341903.44
2019-12-06,3145.91,26654412387699.95
2019-12-09,3135.96,26570108830618.66
2019-12-10,3132.52,26540962676210.65
2019-12-11,3141.63,26618149149076.04
2019-12-12,3168.57,26846404207143.38
2019-12-13,3168.8,26848352932583.46
2019-12-16,3191.45,27040260024833.83
2019-12-17,3192.52,27049325834489.81
2019-12-18,3191.14,27037633481849.39
2019-12-19,3205.37,27158200277554.6
2019-12-20,3221.22,27292492878533.34
2019-12-23,3224.01,27316131765393.33
2019-12-24,3223.38,27310793952231.4
2019-12-26,3239.91,27450848002337.3
2019-12-27,3240.02,27451780001460.82
2019-12-30,3221.29,27293085968884.67
2019-12-31,3230.78,27373492075085.82
2020-01-02,3257.85,27602848586662.77
2020-01-03,3234.85,27407976042655.76
2020-01-06,3246.28,27504819224307.94
2020-01-07,3237.18,27427717478635.6
2020-01-08,3253.05,27562179534000.44
2020-01-09,3274.7,27745613906946.17
2020-01-10,3265.35,27666393981447.67
2020-01-13,3288.13,27859402527207.66
2020-01-14,3283.15,27817208385070.48
2020-01-15,3289.29,27869230881601.05
2020-01-16,3316.81,28102400116865.1
2020-01-17,3329.62,28210935651157.7
2020-01-21,3320.79,28136121539697.62
2020-01-22,3321.75,28144255350230.08
2020-01-23,3325.54,28176366956394.71
2020-01-24,3295.47,27921592286903.8
2020-01-27,3243.63,27482366518150.62
2020-01-28,3276.24,27758661894675.33
2020-01-29,3273.4,27734599371850.12
2020-01-30,3283.66,27821529471915.86
2020-01-31,3225.52,27328925571543.35
2020-02-03,3248.92,27527187203272.22
2020-02-04,3297.59,27939554451829.67
2020-02-05,3334.69,28253892338032.28
2020-02-06,3345.78,28347854795120.88
2020-02-07,3327.71,28194752757285.81
2020-02-10,3352.09,28401317653933.24
2020-02-11,3357.75,28449273245197.58
2020-02-12,3379.45,28633131254108.54
2020-02-13,3373.94,28586446570739.9
2020-02-14,3380.16,28639146884814.84
2020-02-18,3370.29,28555521145277.92
2020-02-19,3386.15,28689898473449.72
2020-02-20,3373.23,28580430940033.6
2020-02-21,3337.75,28279818859104.52
2020-02-24,3225.89,27332060477686.07
2020-02-25,3128.21,26504445256007.6
2020-02-26,3116.39,26404297713826.6
2020-02-27,2978.76,25238197355927.26
2020-02-28,2954.22,25030276824191.08
2020-03-02,3090.23,26182651376816.88
2020-03-03,3003.37,25446710978014.76
2020-03-04,3130.12,26520628149879.48
2020-03-05,3023.94,25620994814111.46
2020-03-06,2972.37,25184056679570.52
2020-03-09,2746.56,23270831933386.9
2020-03-10,2882.23,24420325761449.13
2020-03-11,2741.38,23226943247388.8
2020-03-12,2480.64,21017766415893.65
2020-03-13,2711.02,22969711489299.54
2020-03-16,2386.13,20217009714410.93
2020-03-17,2529.19,21429116938134.54
2020-03-18,2398.1,20318428164487.62
2020-03-19,2409.39,20414085165437.15
2020-03-20,2304.92,19528940179680.08
2020-03-23,2237.4,18956862172229.93
2020-03-24,2447.33,20735540135855.67
2020-03-25,2475.56,20974725001826.02
2020-03-26,2630.07,22283844861587.9
2020-03-27,2541.47,21533161931195.68
2020-03-30,2626.65,22254868161565.99
2020-03-31,2584.59,21898505587612.3
2020-04-01,2470.5,20931853042144.48
2020-04-02,2526.9,21409714410926.89
2020-04-03,2488.65,21085632897523.92
2020-04-06,2663.68,22568612957417.28
2020-04-07,2659.41,22532434445986.42
