"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2013","51.96","52.39","52.50","51.84","4.31M","-0.80%"
"11/11/2013","52.38","52.61","52.80","52.12","3.18M","-0.66%"
"11/08/2013","52.73","53.50","53.55","52.37","6.69M","-1.33%"
"11/07/2013","53.44","54.25","54.38","53.26","2.96M","-1.71%"
"11/06/2013","54.37","54.30","54.50","54.07","2.19M","0.48%"
"11/05/2013","54.11","54.38","54.51","54.09","2.14M","-0.86%"
"11/04/2013","54.58","54.66","55.03","54.45","2.37M","-0.09%"
"11/01/2013","54.63","54.51","55.13","54.33","3.64M","0.46%"
"10/31/2013","54.38","54.79","54.79","53.08","5.74M","-1.91%"
"10/30/2013","55.44","55.75","55.93","55.22","1.80M","-0.63%"
"10/29/2013","55.79","55.68","55.80","55.00","2.40M","0.50%"
"10/28/2013","55.51","54.62","55.73","54.62","2.71M","1.00%"
"10/25/2013","54.96","54.91","54.97","54.52","1.51M","0.64%"
"10/24/2013","54.61","54.64","54.82","54.30","1.46M","0.35%"
"10/23/2013","54.42","54.35","54.98","54.16","1.58M","-0.57%"
"10/22/2013","54.73","54.54","54.95","54.01","2.03M","1.33%"
"10/21/2013","54.01","53.71","54.03","53.24","1.65M","0.60%"
"10/18/2013","53.69","53.81","53.99","53.62","2.28M","-0.17%"
"10/17/2013","53.78","52.61","53.88","52.61","2.28M","1.36%"
"10/16/2013","53.06","52.45","53.10","52.37","2.61M","1.82%"
"10/15/2013","52.11","52.10","52.32","51.72","3.19M","-0.48%"
"10/14/2013","52.36","52.20","52.49","52.10","3.09M","0.04%"
"10/11/2013","52.34","52.42","52.89","52.29","3.02M","-0.44%"
"10/10/2013","52.57","52.35","52.94","52.25","2.96M","1.33%"
"10/09/2013","51.88","52.55","52.79","51.77","3.46M","-2.22%"
"10/08/2013","53.06","53.79","53.82","52.71","3.67M","-1.47%"
"10/07/2013","53.85","52.71","54.36","52.71","8.60M","1.18%"
"10/04/2013","53.22","52.51","53.46","52.42","9.20M","1.45%"
"10/03/2013","52.46","52.86","53.03","52.12","2.07M","-1.13%"
"10/02/2013","53.06","52.59","53.08","52.10","2.57M","0.19%"
"10/01/2013","52.96","52.46","53.00","52.28","2.05M","0.91%"
"09/30/2013","52.48","52.39","52.82","52.08","2.64M","-0.76%"
"09/27/2013","52.88","52.88","53.10","52.25","1.79M","-0.30%"
"09/26/2013","53.04","52.90","53.06","52.32","1.94M","0.76%"
"09/25/2013","52.64","53.10","53.32","52.44","2.45M","-0.75%"
"09/24/2013","53.04","54.11","54.11","52.95","3.03M","-1.74%"
"09/23/2013","53.98","54.10","54.28","53.57","1.72M","-0.09%"
"09/20/2013","54.03","53.93","54.45","53.80","15.06M","0.09%"
"09/19/2013","53.98","55.50","55.51","53.80","3.97M","-2.79%"
"09/18/2013","55.53","55.17","55.65","54.38","2.43M","0.96%"
"09/17/2013","55.00","54.80","55.20","54.58","1.49M","0.38%"
"09/16/2013","54.79","54.68","55.17","54.58","2.06M","1.01%"
"09/13/2013","54.24","53.74","54.28","53.33","1.96M","1.57%"
"09/12/2013","53.40","53.53","53.64","53.29","2.08M","-0.45%"
"09/11/2013","53.64","53.00","53.73","53.00","2.83M","0.98%"
"09/10/2013","53.12","54.31","54.40","52.64","4.58M","-2.05%"
"09/09/2013","54.23","53.51","54.44","53.24","3.47M","1.92%"
"09/06/2013","53.21","53.43","53.81","52.58","2.79M","0.61%"
"09/05/2013","52.89","52.84","53.26","52.68","1.99M","-0.09%"
"09/04/2013","52.94","52.20","53.20","52.10","2.59M","1.11%"
"09/03/2013","52.36","52.49","53.13","52.01","2.39M","1.14%"
"08/30/2013","51.77","51.97","52.25","51.53","1.97M","-0.31%"
"08/29/2013","51.93","51.23","52.29","51.22","2.58M","0.70%"
"08/28/2013","51.57","51.75","52.00","51.20","2.70M","-0.71%"
"08/27/2013","51.94","51.67","52.31","51.53","3.20M","-0.27%"
