"date","index","ticker","market_cap","company_name"
"2011-07-11","505","XOM","403446420222.30","Exxon Mobil Corporation"
"2011-07-12","505","XOM","403397159365.13","Exxon Mobil Corporation"
"2011-07-13","505","XOM","406303549938.16","Exxon Mobil Corporation"
"2011-07-14","505","XOM","405121289366.08","Exxon Mobil Corporation"
"2011-07-15","505","XOM","408865114511.00","Exxon Mobil Corporation"
"2011-07-18","505","XOM","407140984510.05","Exxon Mobil Corporation"
"2011-07-19","505","XOM","411968548512.71","Exxon Mobil Corporation"
"2011-07-20","505","XOM","410342940226.10","Exxon Mobil Corporation"
"2011-07-21","505","XOM","418815807659.34","Exxon Mobil Corporation"
"2011-07-22","505","XOM","419801024802.74","Exxon Mobil Corporation"
"2011-07-25","505","XOM","416599069086.69","Exxon Mobil Corporation"
"2011-07-26","505","XOM","415613851943.29","Exxon Mobil Corporation"
"2011-07-27","505","XOM","410392201083.27","Exxon Mobil Corporation"
"2011-07-28","505","XOM","401278942506.82","Exxon Mobil Corporation"
"2011-07-29","505","XOM","393052379359.43","Exxon Mobil Corporation"
"2011-08-01","505","XOM","392116423073.20","Exxon Mobil Corporation"
"2011-08-02","505","XOM","383446512211.28","Exxon Mobil Corporation"
"2011-08-03","191","GOOGL","387456259270.50","Alphabet Inc."
"2011-08-04","191","GOOGL","372213747948.00","Alphabet Inc."
"2011-08-05","191","GOOGL","373193393496.00","Alphabet Inc."
"2011-08-08","191","GOOGL","351911882973.00","Alphabet Inc."
"2011-08-09","191","GOOGL","369564837946.50","Alphabet Inc."
"2011-08-10","191","GOOGL","353838948886.50","Alphabet Inc."
"2011-08-11","191","GOOGL","362294836774.50","Alphabet Inc."
"2011-08-12","191","GOOGL","363351822760.50","Alphabet Inc."
"2011-08-15","505","XOM","365958907915.93","Exxon Mobil Corporation"
"2011-08-16","505","XOM","362067300199.50","Exxon Mobil Corporation"
"2011-08-17","505","XOM","365318516772.72","Exxon Mobil Corporation"
"2011-08-18","505","XOM","349456520763.98","Exxon Mobil Corporation"
"2011-08-19","505","XOM","343840783046.60","Exxon Mobil Corporation"
"2011-08-22","505","XOM","345712695619.06","Exxon Mobil Corporation"
"2011-08-23","505","XOM","362855473914.22","Exxon Mobil Corporation"
"2011-08-24","505","XOM","362264343628.18","Exxon Mobil Corporation"
"2011-08-25","505","XOM","353545171909.09","Exxon Mobil Corporation"
"2011-08-26","505","XOM","357830866482.88","Exxon Mobil Corporation"
"2011-08-29","505","XOM","365121473344.04","Exxon Mobil Corporation"
"2011-08-30","505","XOM","364086995343.47","Exxon Mobil Corporation"
"2011-08-31","505","XOM","364628864772.34","Exxon Mobil Corporation"
"2011-09-01","505","XOM","362018039342.33","Exxon Mobil Corporation"
"2011-09-02","505","XOM","355367823624.38","Exxon Mobil Corporation"
"2011-09-06","415","AAPL","351165945827.84","Apple Inc."
"2011-09-07","505","XOM","362806213057.05","Exxon Mobil Corporation"
"2011-09-08","505","XOM","358717561911.94","Exxon Mobil Corporation"
"2011-09-09","505","XOM","349801346764.17","Exxon Mobil Corporation"
"2011-09-12","505","XOM","353889997909.28","Exxon Mobil Corporation"
"2011-09-13","415","AAPL","355678743572.72","Apple Inc."
"2011-09-14","415","AAPL","360006590590.35","Apple Inc."
