"date","index","ticker","market_cap","company_name","sp500_total_market_cap","proportion_sp500","expected_num_constituents","num_actual_constituents","available_data_prop"
"2025-10-07","317","NVDA","4508684640000.00","NVIDIA Corporation","63699820856928.00","0.071","503","503","1.000"
"2025-10-06","317","NVDA","4520867640000.00","NVIDIA Corporation","63996491543898.00","0.071","503","503","1.000"
"2023-05-19","415","AAPL","2771372061360.00","Apple Inc.","38836304461522.19","0.071","503","503","1.000"
"2023-05-22","415","AAPL","2756182993200.00","Apple Inc.","38866009042586.46","0.071","503","503","1.000"
"2025-08-20","317","NVDA","4273796400000.00","NVIDIA Corporation","59793164764630.00","0.071","503","503","1.000"
"2025-08-19","317","NVDA","4279644239999.00","NVIDIA Corporation","59960946929044.00","0.071","503","503","1.000"
"2025-07-25","317","NVDA","4227501000000.00","NVIDIA Corporation","59651572416047.00","0.071","503","503","1.000"
"2025-07-24","317","NVDA","4233348840000.00","NVIDIA Corporation","59403558195489.00","0.071","503","503","1.000"
"2025-07-21","317","NVDA","4175845080000.00","NVIDIA Corporation","58804880124934.00","0.071","503","502","0.998"
"2025-07-15","317","NVDA","4159276199999.00","NVIDIA Corporation","58186672866592.00","0.071","503","503","1.000"
"2023-05-23","415","AAPL","2714413055760.00","Apple Inc.","38420472424548.22","0.071","503","503","1.000"
"2023-05-25","415","AAPL","2737038438540.00","Apple Inc.","38475016813773.55","0.071","503","503","1.000"
"2023-05-26","415","AAPL","2775643986780.00","Apple Inc.","38965581459376.24","0.071","503","503","1.000"
"2023-05-24","415","AAPL","2718843200640.00","Apple Inc.","38134274636294.03","0.071","503","503","1.000"
"2023-06-06","415","AAPL","2835450942660.00","Apple Inc.","39717898646211.30","0.071","503","503","1.000"
"2023-08-31","415","AAPL","2954951244740.00","Apple Inc.","41823122711191.11","0.071","503","503","1.000"
"2023-09-01","415","AAPL","2979959880920.00","Apple Inc.","41879766377441.64","0.071","503","503","1.000"
"2023-06-07","415","AAPL","2813458437720.00","Apple Inc.","39502374863429.19","0.071","503","503","1.000"
